name,tier,tier_name,iclevel,region,state,cfips,county,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc
Warren County Community College,9,Two-year (public and private not-for-profit),2,1,NJ,34041,Warren,0.5418182,0.42067751,0.023036335,4.58E-05,96677.34115,78600,0.606405556,0.099666938,0.1094563,0.21663328,0.31224447,0.2619991,0.10244152,0.030430842,0.006465984,0.000192106
Warren Wilson College,6,Selective private,1,3,NC,37021,Buncombe,0.63473052,0.47583985,0.006320864,1.36E-05,161014.9976,104100,0.68476781,0.06592124,0.11077407,0.15413322,0.21978179,0.44938961,0.29267567,0.20086642,0.040516123,0.005943165
Wartburg College,6,Selective private,1,2,IA,19017,Bremer,0.54817706,0.78110844,0.007640526,0.001333799,108707.0677,85100,0.644214074,0.03320574,0.10039698,0.22534388,0.3593657,0.28168768,0.11819925,0.055285472,0.013612011,0.001285529
Washburn University - Topeka,5,Selective public,1,2,KS,20177,Shawnee,0.56844109,0.63039273,0.009175694,0.00092043,92060.47135,80800,0.612484316,0.068165675,0.12773111,0.23666541,0.31255892,0.25487876,0.10490226,0.039314028,0.004441542,0.000134309
Washington Adventist University,6,Selective private,1,3,MD,24031,Montgomery,0.60904253,0.48828545,0.015974376,0.002882002,88549.64092,74900,0.588517929,0.084367946,0.17809594,0.22331788,0.24097627,0.27324191,0.12817548,0.06678009,0.000724729,3.03E-05
Washington And Jefferson College,6,Selective private,1,1,PA,42125,Washington,0.47247708,0.60048878,0.013819983,0.00026912,151933.7911,99300,0.676732242,0.042800099,0.09005373,0.17130825,0.2919122,0.40392569,0.23299818,0.11976688,0.028849665,0.004487084
Washington And Lee University,2,Other elite schools (public and private),1,3,VA,51678,Lexington City,0.44161186,0.65991741,0.00570929,0.000751714,424390.8492,226700,0.887998881,0.011189627,0.01859498,0.057591937,0.09914124,0.81348217,0.68959606,0.54265463,0.17485774,0.014011192
Washington College,6,Selective private,1,3,MD,24029,Kent,0.60742706,0.60547525,0.01230266,0.002701846,209230.8945,120900,0.740328429,0.033713829,0.065571189,0.12241684,0.22565165,0.55264652,0.34807333,0.20219146,0.055321708,0.003885246
Washington State Community College,9,Two-year (public and private not-for-profit),2,2,OH,39167,Washington,0.57857144,0.58813196,0.013759583,0,62312.45174,58400,0.47570739,0.15353462,0.23330659,0.28156236,0.23950621,0.09209016,0.031451691,0.014965167,0.001298422,0.000231673
Washington State University,5,Selective public,1,4,WA,53075,Whitman,0.52909046,0.64539325,0.014843442,0.000497802,132236.5811,104200,0.705219965,0.045168158,0.081448458,0.15292436,0.27052873,0.44993028,0.22582236,0.10143556,0.016684394,0.001546511
Washington University In St. Louis,2,Other elite schools (public and private),1,2,MO,29189,St Louis,0.52833766,0.58425957,0.01037176,0.000960484,370117.2958,180200,0.836313981,0.019383473,0.04163336,0.076337673,0.1415039,0.72114164,0.58469874,0.4396683,0.14692436,0.016340299
Washtenaw Community College,9,Two-year (public and private not-for-profit),2,2,MI,26161,Washtenaw,0.48750511,0.42729178,0.009160762,1.28E-05,100979.4388,89100,0.631826639,0.089792557,0.13137282,0.16149458,0.27769104,0.33964914,0.15078509,0.052152909,0.00584814,0.0002199
Waubonsee Community College,9,Two-year (public and private not-for-profit),2,2,IL,17089,Kane,0.51927161,0.49403256,0.008545077,3.17E-05,99938.67055,88600,0.641090745,0.062704653,0.11464889,0.18970057,0.31909984,0.31384608,0.11807346,0.044256277,0.003620441,0.000313676
Waukesha County Technical College,9,Two-year (public and private not-for-profit),2,2,WI,55133,Waukesha,0.43596059,0.55153859,0.005404868,0,101314.9708,91000,0.659509261,0.03898925,0.096620746,0.18537587,0.38312683,0.29588726,0.093866341,0.032071274,0.004848852,0.000350511
Wayland Baptist University,6,Selective private,1,3,TX,48189,Hale,0.51053482,0.62763017,0.019498071,0.001529103,70396.73698,60200,0.506558259,0.14025079,0.21835753,0.24271554,0.27011517,0.1285609,0.05707648,0.011461569,0.000865633,0.000146063
Wayne Community College,9,Two-year (public and private not-for-profit),2,3,NC,37191,Wayne,0.55898046,0.47802773,0.008660716,1.09E-05,62574.22813,54900,0.466872612,0.18131717,0.23338285,0.25364462,0.22934976,0.10230563,0.034595124,0.012792277,0.001022646,9.00E-05
Wayne County Community College District,9,Two-year (public and private not-for-profit),2,2,MI,26163,Wayne,0.61079544,0.21109523,0.010020063,0,56755.07228,44300,0.416369902,0.27205005,0.24159719,0.20057599,0.16834222,0.11743458,0.034318425,0.006911445,0.000653536,2.40E-05
Wayne State College,5,Selective public,1,2,NE,31179,Wayne,0.54291844,0.70208883,0.009894511,0.000767671,79428.86458,67800,0.542366783,0.08358366,0.17965811,0.29711306,0.29307836,0.14656678,0.046077978,0.018849468,0.002984564,0.0001292
Wayne State University,5,Selective public,1,2,MI,26163,Wayne,0.58331776,0.45417821,0.024474362,0.000373491,95384.37429,81800,0.591245362,0.12600836,0.14747736,0.16837549,0.25169039,0.30644849,0.13231145,0.050127883,0.005389479,0.00038586
Waynesburg University,6,Selective private,1,1,PA,42059,Greene,0.50192553,0.65669513,0.023815975,0.001261247,83352.3698,74000,0.569298458,0.10090327,0.13916622,0.26384437,0.2809729,0.21511327,0.070204273,0.02870165,0.001582321,5.23E-05
Weatherford College,9,Two-year (public and private not-for-profit),2,3,TX,48367,Parker,0.52915239,0.54875869,0.018856805,0.001012349,74696.97522,62500,0.523066154,0.12577263,0.19250405,0.26855013,0.25115114,0.16202204,0.054509565,0.02124116,0.00374506,0.000634934
Webber International University,6,Selective private,1,3,FL,12105,Polk,0.33333334,0.4916667,0.014950736,5.03E-05,87560.83594,62400,0.529281676,0.13637573,0.24546236,0.21597308,0.21850745,0.18368137,0.097894527,0.048157819,0.01851281,0.00030786
Weber State University,5,Selective public,1,4,UT,49057,Weber,0.50425935,0.74841857,0.008615281,0.000708994,111334.5607,92000,0.674220992,0.036054473,0.079851389,0.19451728,0.36970112,0.31987578,0.13159421,0.060147405,0.009171757,0.00081568
Webster University,6,Selective private,1,2,MO,29189,St Louis,0.60554701,0.55161756,0.008702328,0.00076419,135678.8018,96000,0.678166996,0.046681557,0.10573412,0.18224192,0.27847189,0.3868705,0.19377057,0.10111327,0.022339899,0.002288675
Wellesley College,2,Other elite schools (public and private),1,1,MA,25021,Norfolk,0.99052429,0.5003866,0.024083447,0.004466578,291786.1472,142500,0.763441385,0.055223361,0.06853056,0.11533938,0.15284421,0.60806239,0.4671092,0.34042293,0.099150375,0.011305647
