Institution,Control,State,Category
University of Arkansas at Little Rock,Public,AR,Planning for in-person
University of Bridgeport,Private,CT,<a href="https://www.bridgeport.edu/covid-19/announcements" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Buffalo,Public,NY,<a href="https://www.buffalo.edu/coronavirus/faqs.host.html/content/shared/faqs/uc/ub-s-response/fall-2020.detail.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of California at Berkeley,Public,CA,<a href="https://sa.berkeley.edu/covid19/Fall2020" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of California at Davis,Public,CA,<a href="https://www.davisenterprise.com/local-news/uc-davis-likely-to-offer-remote-instruction-option-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of California at Irvine,Public,CA,<a href="https://uci.edu/coronavirus/updates/200611-update.php" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
University of California at Los Angeles,Public,CA,<a href="https://chancellor.ucla.edu/messages/planning-fall-2020-beyond/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of California at Riverside,Public,CA,<a href="https://insideucr.ucr.edu/announcements/2020/04/28/chancellors-update-april-2020" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
University of California at San Diego,Public,CA,<a href="https://coronavirus.ucsd.edu/#current-status" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of California at Santa Barbara,Public,CA,<a href="https://chancellor.ucsb.edu/memos/2020-05-14-covid-19-update-planning-efforts-our-path-forward" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of California at Santa Cruz,Public,CA,<a href="https://news.ucsc.edu/2020/04/information-about-fall-quarter-2020.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Central Arkansas,Public,AR,<a href="https://uca.edu/news/covid-19-update-may-8-2020-planning-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Central Florida,Public,FL,<a href="https://twitter.com/ByBerkowitz/status/1253321140803698690" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Central Missouri,Public,MO,<a href="https://www.ucmo.edu/about/university-leadership/ucm-president/presidential-blog/posts/2020-05-01-message-from-the-president-to-the-campus-community-1.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
#REF!,#REF!,#REF!,#REF!
University of Central Oklahoma,Public,OK,<a href="https://www.uco.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Charleston,Private,WV,<a href="https://www.ucwv.edu/coronavirus-information/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Chicago,Private,IL,<a href="https://coronavirusupdates.uchicago.edu/apr-24-email-update/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
University of Cincinnati,Public,OH,<a href="https://local12.com/news/local/fall-plans-for-local-colleges-to-be-announced-by-mid-june-cincinnati" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
University of Colorado at Boulder,Public,CO,<a href="https://www.colorado.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Colorado at Denver,Public,CO,<a href="https://www1.ucdenver.edu/coronavirus/updates/fall-2020-cu-denvers-plan-for-a-safe-return-to-campus-june-4-2020" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Connecticut,Public,CT,<a href="https://reopen.uconn.edu" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Dallas,Private,TX,<a href="https://udallas.edu/news/2020/university-update-residential-academic-classes-to-reopen-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Dayton,Private,OH,<a href="https://udayton.edu/president/path-forward/index.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
#REF!,#REF!,#REF!,#REF!
University of Delaware,Public,DE,<a href="https://www.udel.edu/udaily/2020/april/covid-19-response-community-letter-president-assanis/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Denver,Private,CO,<a href="https://www.du.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Detroit Mercy,Private,MI,<a href="https://udmercy.edu/about/news/articles/2020/05-20-university-academic-year-plans.ph" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Evansville,Private,IN,<a href="https://evansville.meritpages.com/news/university-of-evansville-to-welcome-students-to-campus-for-its-fall-term/15799" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Findlay,Private,OH,<a href="https://newsroom.findlay.edu/university-of-findlay-to-resume-in-person-classes-residential-living-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Florida,Public,FL,<a href="http://www.ufl.edu/health-updates/institutional-recovery-strategy/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Hartford,Private,CT,<a href="https://www.hartford.edu/academics/academic-calendar/fall-opening.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Hawaii,Public,HI,<a href="https://www.staradvertiser.com/2020/05/04/breaking-news/university-of-hawaii-to-resume-in-person-instruction-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Houston,Public,TX,<a href="https://cloudapps.uh.edu/sendit/w/THVLNU3k6jqJhqMQrFvJSA/YnMQUW1VLUcjNrID5m0zPA/763892ok763J41Zk892iBU72XVwolg" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Idaho,Public,ID,<a href="https://www.uidaho.edu/vandal-health-clinic/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Illinois at Chicago,Public,IL,<a href="https://today.uic.edu/planning-for-fall-semester-at-uic" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Illinois at Springfield,Public,IL,<a href="https://newschannel20.com/news/local/uis-plans-for-in-person-fall-classes-final-decision-pending" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Illinois at Urbana-Champaign,Public,IL,<a href="https://chicago.suntimes.com/education/2020/4/24/21234508/university-of-illinois-admission-tuition-payment-financial-aid-acceptance-coronavirus-covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Indianapolis,Private,IN,<a href="https://uindy.edu/coronavirus/?_ga=2.42512355.718056542.1589888356-214593907.1582307099#introduction" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Iowa,Public,IA,<a href="https://coronavirus.uiowa.edu/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Kansas,Public,KS,<a href="https://coronavirus.ku.edu/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Kentucky,Public,KY,<a href="https://www.uky.edu/coronavirus/updates/pivotal-week-our-efforts-reinvent-normal-operations" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of La Verne,Private,CA,<a href="https://laverne.edu/health/2020/fall-planning-and-budget-outlook/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Louisiana system,Public,LA,<a href="https://www.wafb.com/2020/05/11/ul-system-plans-resume-in-person-classes-its-schools-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Louisiana system — Grambling State University,Public,LA,Planning for in-person
University of Louisiana system — Louisiana Tech University,Public,LA,Planning for in-person
University of Louisiana system — McNeese State University,Public,LA,Planning for in-person
University of Louisiana system — Nicholls State University,Public,LA,Planning for in-person
University of Louisiana system — Northwestern State University,Public,LA,Planning for in-person
University of Louisiana system — Southeastern Louisiana University,Public,LA,Planning for in-person
University of Louisiana system — University of Louisiana at Lafayette,Public,LA,Planning for in-person
University of Louisiana system — University of Louisiana at Monroe,Public,LA,Planning for in-person
University of Louisiana system — University of New Orleans,Public,LA,Planning for in-person
University of Louisville,Public,KY,<a href="https://louisville.edu/coronavirus/communications-and-updates/messages/FromtheProvostPivotingtoFall2020.pdf" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Lynchburg,Private,VA,<a href="https://www.lynchburg.edu/about/covid-19/messages-from-president-garren/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Maine –- Machias,Public,ME,Planning for in-person
University of Maine — all system campuses,Public,ME,<a href="https://bangordailynews.com/2020/04/21/education/maine-universities-plan-to-reopen-campus-this-fall-but-student-life-likely-wont-be-the-same/" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Maine — Augusta,Public,ME,Planning for in-person
University of Maine — Farmington,Public,ME,Planning for in-person
University of Maine — Fort Kent,Public,ME,Planning for in-person
University of Maine — Presque Isle,Public,ME,Planning for in-person
University of Maine — University of Southern Maine,Public,ME,Planning for in-person
University of Mary,Private,ND,<a href="https://news.umary.edu/university-of-mary-announces-intention-to-resume-on-campus-classes-in-september/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Mary Hardin-Baylor,Private,TX,<a href="https://go.umhb.edu/coronavirus/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Mary Washington,Public,VA,<a href="https://www.umw.edu/advisories/2020/04/24/fall-opening-and-tuition-freeze/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Massachusets Amherst,Public,MA,<a href="https://www.youtube.com/watch?v=QIiWY6mz4lY&amp;feature=youtu.be" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
University of Massachusetts at Boston,Public,MA,<a href="https://www.umb.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
University of Massachusetts at Dartmouth,Public,MA,<a href="https://www.umassd.edu/strategicplan/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
University of Memphis,Public,TN,<a href="https://wreg.com/news/local-universities-plan-for-students-to-return-to-campus-in-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Miami,Private,FL,<a href="https://www.youtube.com/watch?v=msSIqGafFqo" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Michigan at Ann Arbor,Public,MI,<a href="https://coronavirus.umich.edu/       " target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Michigan at Dearborn,Public,MI,<a href="https://coronavirus.umich.edu/       " target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Michigan at Flint,Public,MI,<a href="https://coronavirus.umich.edu/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Minnesota,Public,MN,<a href="http://view.ecommunications2.umn.edu/?qs=0526b1dda846d2cd03ccc9ae96cbfd4bb04569f93e902211ffd91a96833cfe47dd51fc7fb6c9f446da94324235a17248918baf0bcf7b662f7e6c3af8ca8146c33421230cee9d945c78e8cae944d4576c" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Missouri,Public,MO,<a href="https://chancellor.missouri.edu/news/classes-start-at-mu-on-aug-24/ " target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Missouri at Kansas City,Public,MO,<a href="https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Missouri at Kansas City,Public,MO,<a href="https://www.umkc.edu/news/posts/2020/april/we-are-rooready-for-fall-semester-classes.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Mobile,Private,AL,<a href="https://umobile.edu/news/university-of-mobile-plans-to-return-to-on-campus-instruction-in-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Montana,Public,MT,<a href="https://www.umt.edu/coronavirus/communications/may7_president.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Montevallo,Public,AL,<a href="https://www.montevallo.edu/about-um/marcomm/coronavirus-information/may-1/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Nebraska — all system campuses,Public,NE,<a href="https://www.omaha.com/news/education/unl-expects-to-hold-on-campus-classes-in-the-fall-chancellor-says/article_3c549fae-b83e-5dce-b4e4-bf159513b178.html" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Nebraska — Kearney,Public,NE,Planning for in-person
University of Nebraska — Lincoln,Public,NE,Planning for in-person
University of Nebraska — Omaha,Public,NE,Planning for in-person
"University of Nevada, Las Vegas",Public,NV,<a href="https://www.unlv.edu/coronavirus/faculty" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
"University of Nevada, Reno",Public,NV,<a href="https://www.unr.edu/coronavirus/messages/2020-05-04-plan-to-return-to-normal-operations" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of New England,Private,ME,<a href="https://www.une.edu/news/2020/university-new-england-announces-plans-open-maine-campuses-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of New Hampshire,Public,NH,<a href="https://www.unh.edu/president/person-instruction-resume-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of New Haven,Private,CT,<a href="https://www.newhaven.edu/coronavirus-info.php#notifications" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of New Mexico,Public,NM,<a href="https://bringbackthepack.unm.edu/index.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of North Carolina at Asheville,Public,NC,<a href="https://coronavirus.unca.edu/resources/academics/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Carolina at Chapel Hill,Public,NC,<a href="https://www.newsobserver.com/news/local/education/article242316001.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Carolina at Charlotte,Public,NC,<a href="https://emergency.uncc.edu/health-advisories/coronavirus-information/coronavirus-campus-updates" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Carolina at Greensboro,Public,NC,<a href="https://update.uncg.edu/uncg-outlook-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Carolina at Pembroke,Public,NC,<a href="https://www.uncp.edu/news/uncp-plans-fall-2020-operations" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Carolina School of the Arts,Public,NC,<a href="https://www.uncsa.edu/news/20200528-fall-semester.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of North Texas,Public,TX,<a href="https://www.unt.edu/notices/planning-be-together-again-our-beautiful-campus-message-president" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Northern Colorado,Public,CO,<a href="https://www.unco.edu/coronavirus/messages/planning-fall-semester.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Northern Iowa,Public,IA,<a href="https://forwardtogether.uni.edu/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Northwestern – St. Paul,Private,MN,<a href="https://unwsp.edu/news/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Noth Alabama,Public,AL,<a href="https://www.una.edu/pressroom/detail.php?id=1610&amp;date=2020-05-04" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Notre Dame,Private,IN,<a href="https://news.nd.edu/news/notre-dame-to-begin-fall-semester-on-campus-the-week-of-aug-10/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Oklahoma,Public,OK,<a href="http://www.ou.edu/web/news_events/articles/news_2020/letter-from-interim-president-harroz-fall-semester-plans" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Oregon,Public,OR,<a href="https://around.uoregon.edu/content/uo-making-plans-campus-instruction-fall-term" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Pennsylvania,Private,PA,<a href="https://coronavirus.upenn.edu/announcement/message-community-our-ongoing-planning-efforts" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Pittsburgh,Public,PA,<a href="https://www.post-gazette.com/news/education/2020/04/16/Pitt-academic-calendar-university-students-Pittsburgh-fall-semester-coronavirus/stories/202004160183" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Pittsburgh,Pubic,PA,<a href="https://www.chancellor.pitt.edu/spotlight/planning-process-check" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Portland,Private,OR,<a href="https://www.upbeacon.com/article/2020/04/university-of-portland-considering-late-start-to-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Puget Sound,Private,WA,<a href="https://www.pugetsound.edu/emergency/coronavirus-2020/frequently-asked-questions/#normalfall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Redlands,Private,CA,<a href="https://www.redlands.edu/coronavirus-resources/message-29-on-429-considering-options-for-reopening-campuses/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Richmond,Private,VA,<a href="https://www.richmond.edu/coronavirus/messages/index.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Rochester,Private,NY,<a href="https://www.rochester.edu/coronavirus-update/message-from-provost-rob-clark-regarding-the-upcoming-academic-year/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Saint Francis,Private,IN,<a href="https://news.sf.edu/2020/04/30/usf-announces-plan-to-return-to-on-campus-instruction-in-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of San Diego,Private,CA,<a href="https://www.sandiego.edu/news/detail.php?_focus=76564" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of San Francisco,Private,CA,<a href="https://www.usfca.edu/admission/undergraduate/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Scranton,Private,PA,<a href="https://www.scranton.edu/covid-19/documents/summer-campus-update-4-24-20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of South Alabama,Public,AL,<a href="https://www.southalabama.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of South Carolina,Public,SC,<a href="https://sc.edu/safety/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of South Florida	,Public,FL,<a href="https://www.usf.edu/coronavirus/index.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Southern California,Private,CA,<a href="https://www.latimes.com/california/story/2020-06-02/usc-announces-a-modified-return-to-campus-with-online-and-in-person-classes-and-fewer-people-in-dorms" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Tampa,Private,FL,<a href="https://www.ut.edu/about-ut/university-services/office-of-public-information/fall-2020-opening" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Tennessee system,Public,TN,<a href="https://www.utk.edu/coronavirus/updates/returning-to-campus-this-fall" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Tennessee system — Chattanooga,Public,TN,Planning for in-person
#REF!,#REF!,#REF!,#REF!
University of Tennessee system — Knoxville,Public,TN,Planning for in-person
University of Tennessee system — Martin,Public,TN,Planning for in-person
University of Texas at Arlington,Public,TX,<a href="https://www.uta.edu/enews/email/2020/06-08-update-summer-fall-planning%20.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Texas at Austin,Public,TX,<a href="https://president.utexas.edu/messages-speeches-2020/fall-2020-planning-update-may-20" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Texas at Dallas,Public,TX,<a href="https://www.utdallas.edu/news/campus-community/benson-message-fall-semester-2020/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Texas at San Antonio,Public,TX,<a href="https://www.expressnews.com/news/education/article/UT-San-Antonio-will-broadly-reopen-in-fall-15264804.php" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of the Cumberlands,Private,KY,<a href="https://www.ucumberlands.edu/news/cumberlands-moves-8-week-class-schedule" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of the Pacific,Private,CA,<a href="https://www.pacific.edu/pacific-fall-reopening-plans.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Toledo,Public,OH,<a href="http://news.utoledo.edu/index.php/05_11_2020/preparing-campus-utoledo-aims-to-open-campus-in-the-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Tulsa,Private,OK,<a href="https://utulsa.edu/coronavirus/resilientu-2020-2021/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Vermont,Public,VT,<a href="https://www.uvm.edu/newsstories/news/4/29/20-looking-fall-2020-message-president-garimella" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Virginia,Public,VA,<a href="https://news.virginia.edu/content/uva-intends-start-person-classes-august" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Washington,Public,WA,<a href="https://www.washington.edu/coronavirus/learning-task-force/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of West Alabama,Public,AL,<a href="https://www.uwa.edu/news/Fall2020CampusReturn" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Wisconsin at Eau Claire,Public,WI,<a href="https://www.uwec.edu/news/news/uw-eau-claire-welcomes-students-back-to-campus-for-fall-semester-4247/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Wisconsin at Green Bay,Public,WI,<a href="https://news.uwgb.edu/log-news/announcements/06/11/uw-green-bay-provost-burns-messages-students-about-fall-class-delivery/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Wisconsin at Madison,Public,WI,<a href="https://uwm.edu/coronavirus/updates/chancellors-update-creating-uwms-future/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Wisconsin at Milwaukee,Public,WI,<a href="https://uwm.edu/coronavirus/updates/chancellors-update-creating-uwms-future/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Wisconsin at River Falls,Public,WI,<a href="https://www.uwec.edu/news/news/uw-eau-claire-welcomes-students-back-to-campus-for-fall-semester-4247/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Wisconsin-Stout,Public,WI,<a href="https://www.uwec.edu/news/news/uw-eau-claire-welcomes-students-back-to-campus-for-fall-semester-4247/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Wyoming,Public,WY,<a href="http://www.uwyo.edu/uw/news/2020/05/uw-moves-toward-on-campus-education-this-fall.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University System of Georgia,Public,GA,<a href="https://www.ajc.com/news/local-education/uga-hopes-reopen-campuses-for-fall-2020-semester/d3Bg1215RFB0swSsK4YJyJ/" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University System of Georgia — Abraham Baldwin Agricultural College,Public,GA,Planning for in-person
University System of Georgia — Albany State University,Public,GA,Planning for in-person
University System of Georgia — Atlanta Metropolitan State College,Public,GA,Planning for in-person
University System of Georgia — Augusta University,Public,GA,Planning for in-person
University System of Georgia — Clayton State University,Public,GA,Planning for in-person
University System of Georgia — College of Coastal Georgia,Public,GA,Planning for in-person
University System of Georgia — Columbus State University,Public,GA,Planning for in-person
University System of Georgia — Dalton State College,Public,GA,Planning for in-person
University System of Georgia — East Georgia State College,Public,GA,Planning for in-person
University System of Georgia — Fort Valley State University,Public,GA,Planning for in-person
University System of Georgia — Georgia Gwinnett College,Public,GA,Planning for in-person
University System of Georgia — Georgia Highlands College,Public,GA,Planning for in-person
University System of Georgia — Georgia Institute of Technology,Public,GA,Planning for in-person
University System of Georgia — Georgia Southern University,Public,GA,Planning for in-person
University System of Georgia — Georgia Southwestern State University,Public,GA,Planning for in-person
University System of Georgia — Georgia State University,Public,GA,<a href="https://cetl.gsu.edu/resources/resources-for-remote-teaching-and-learning/fall-plan-keep-teaching/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University System of Georgia — Gordon State College,Public,GA,Planning for in-person
University System of Georgia — Kennesaw State University,Public,GA,Planning for in-person
University System of Georgia — Middle Georgia State University,Public,GA,Planning for in-person
University System of Georgia — Savannah State University,Public,GA,Planning for in-person
University System of Georgia — South Georgia State College,Public,GA,Planning for in-person
University System of Georgia — University of Georgia,Public,GA,Planning for in-person
University System of Georgia — University of North Georgia,Public,GA,Planning for in-person
University System of Georgia — University of West Georgia,Public,GA,Planning for in-person
University System of Georgia — Valdosta State University,Public,GA,Planning for in-person
University System of Maryland,Public,MD,<a href="https://www.usmd.edu/newsroom/news/2041" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University System of Maryland — Bowie State University,Public,MD,Proposing a hybrid model
University System of Maryland — Coppin State University,Public,MD,Proposing a hybrid model
University System of Maryland — Frostburg State University,Public,MD,Proposing a hybrid model
University System of Maryland — Salisbury University,Public,MD,Proposing a hybrid model
University System of Maryland — Towson University,Public,MD,Proposing a hybrid model
University System of Maryland — University of Baltimore,Public,MD,Proposing a hybrid model
University System of Maryland — University of Maryland at College Park,Public,MD,Proposing a hybrid model
"University System of Maryland — University of Maryland, Baltimore County",Public,MD,Proposing a hybrid model
"University System of Maryland — University of Maryland, Eastern Shore",Public,MD,Proposing a hybrid model
Ursinus College,Private,PA,<a href="https://www.ursinus.edu/live/news/672-important-details-regarding-move-out-process" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Utah System of Higher Education — all campuses,Public,UT,<a href="https://www.deseret.com/utah/2020/4/24/21234793/covid-19-reopen-public-colleges-universities-fall" target="_blank" rel="nofollow noopener noreferrer">Link</a>
Utah System of Higher Education — Dixie State University,Public,UT,Planning for in-person
Utah System of Higher Education — Salt Lake Community College,Public,UT,Planning for in-person
Utah System of Higher Education — Snow College,Public,UT,Planning for in-person
Utah System of Higher Education — Southern Utah University,Public,UT,Planning for in-person
Utah System of Higher Education — University of Utah,Public,UT,Planning for in-person
Utah System of Higher Education — Utah State University,Public,UT,Planning for in-person
Utah System of Higher Education — Utah Valley University,Public,UT,Planning for in-person
Utah System of Higher Education — Weber State University,Public,UT,Planning for in-person
Valencia College,Public,FL,<a href="https://valenciacollege.edu/alerts/covid-19.php#update" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Valparaiso University,Private,IN,<a href="http://www.valpotorch.com/news/article_d80d01a2-99e1-11ea-b9fb-9bddf1948a3c.html?fbclid=IwAR2tv0neCbZN5cUFlR4uvViTK8wkmcnDgVFSmtr8V2fyz22B0r3ZKAXpwbI" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Vanderbilt University,Private,TN,<a href="https://www.vanderbilt.edu/coronavirus/2020/05/12/may-12-2020-planning-for-the-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Vanguard University,Private,CA,<a href="https://www.vanguard.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Vassar College,Private,NY,<a href="https://www.vassar.edu/coronavirus-updates/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Vermont Technical College,Public,VT,<a href="https://www.vtc.edu/news/update-covid-19-coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Villanova University,Private,PA,<a href="https://www1.villanova.edu/university/coronavirus/updates.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Virginia Commonwealth University,Public,VA,<a href="ttps://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
