Institution,Control,State,Category
Boston College,Private,MA,<a href="https://www.bostonglobe.com/2020/05/19/metro/bc-intends-hold-classes-campus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Boston University,Private,MA,<a href="http://www.bu.edu/articles/2020/bu-campuses-in-person-classes-resume-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bowdoin College,Private,ME,<a href="https://www.bowdoin.edu/covid-19/messages/04-30-2020.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Bowling Green State University,Public,OH,<a href="https://www.13abc.com/content/news/UT-BGSU-announce-plans-to-reopen-for-in-person-classes-in-fall-570374001.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bradley University,Private,IL,<a href="https://www.centralillinoisproud.com/news/local-news/bradley-university-resuming-on-campus-classes-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Brandeis University,Private,MA,<a href="https://www.brandeis.edu/coronavirus/campus-updates/2020-05-20-update-on-brandeis-near-term-plans.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Brevard College,Private,NC,<a href="https://brevard.edu" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Brigham Young University,Private,UT,<a href="https://www.byu.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Brown University,Private,RI,<a href="https://covid.brown.edu/news/2020-05-06/planning-graduate-medical" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Bryant University,Private,RI,<a href="https://www.providencejournal.com/news/20200430/bryant-university-planning-to-open-campus-for-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bryn Mawr College,Private,PA,<a href="https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bryn Mawr College,Private,PA,<a href="https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bucknell University,Private,PA,<a href="https://www.bucknell.edu/life-bucknell/health-wellness-safety/coronavirus-covid-19-updates/coronavirus-covid-19-messages" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Buena Vista University,Private,IA,<a href="https://www.bvu.edu/news/bvu-resume-person-classes-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Buffalo State College,Public,NY,<a href="https://coronavirus.buffalostate.edu/president-fall-scenarios-submitted-suny-review" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Butler University,Private,IN,<a href="https://www.butler.edu/coronavirus-updates" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Butte College,Public,CA,<a href="http://www.butte.edu/feeds/2020/fall-2020-instruction-updates.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
BYU - Hawaii,Private,HI,<a href="https://news.byuh.edu/byu-hawaii-to-continue-remote-learning-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
California Baptist University,Private,CA,<a href="https://calbaptist.edu/news/cbu_update_coronavirus_1" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
California Institute of the Arts,Private,CA,<a href="https://calarts.edu/about/news-and-events/newsroom/institute-news/calarts-approach-to-academic-year-2020-21" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
California Lutheran University,Private,CA,<a href="https://www.callutheran.edu/emergency/#202005031445" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
California State University — all system campuses,Public,CA,<a href="https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest" target="_blank" rel="nofollow noopener noreferrer">Link</a>
California State University — Bakersfield,Public,CA,Planning for online
California State University — Channel Islands,Public,CA,Planning for online
California State University — Chico,Public,CA,Planning for online
California State University — Dominguez Hills,Public,CA,Planning for online
California State University — East Bay,Public,CA,Planning for online
California State University — Fresno State,Public,CA,Planning for online
California State University — Fullerton,Public,CA,Planning for online
California State University — Humboldt,Public,CA,Planning for online
California State University — Long Beach,Public,CA,Planning for online
California State University — Los Angeles,Public,CA,Planning for online
California State University — Maritime Academy,Public,CA,Planning for online
California State University — Monterey Bay,Public,CA,Planning for online
California State University — Northridge,Public,CA,Planning for online
California State University — Polytechnic at Pomona,Public,CA,Planning for online
California State University — Polytechnic at San Luis Obispo,Public,CA,Planning for online
California State University — Sacramento,Public,CA,Planning for online
California State University — San Bernardino,Public,CA,Planning for online
California State University — San Diego State University,Public,CA,Planning for online
California State University — San Francisco State University,Public,CA,Planning for online
California State University — San José State University,Public,CA,Planning for online
California State University — San Marcos,Public,CA,Planning for online
California State University — Sonoma State University,Public,CA,Planning for online
California State University — Stanislaus,Public,CA,Planning for online
California University of Pennsylvania,Public,PA,<a href="https://www.calu.edu/news/2020/Cal-U-Responsible-Reopening.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Calvin University,Private,MI,<a href="https://calvin.edu/news/archive/calvin-university-takes-major-step-toward-opening-in-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cameron University,Public,OK,<a href="https://www.cameron.edu/covid-19/summer-and-fall-2020-classes" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Campbell University,Private,NC,<a href="https://news.campbell.edu/articles/global-categories/campus-community/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Cañada College,Public,CA,<a href="https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Cape Cod Community College,Public,MA,<a href="https://www.capecod.edu/coronavirus/index.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Cape Fear Community College,Public,NC,<a href="https://www.wwaytv3.com/2020/05/29/cfcc-to-resume-in-person-classes-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Capitol Technological University,Private,MD,<a href="https://www.captechu.edu/news-events/letter-president-sims-moving-forward" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Carleton College,Private,MN,<a href="https://www.carleton.edu/disease-updates/news/message-from-president-poskanzer-on-planning-for-the-2020-21-academic-year/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Carlow University,Private,PA,<a href="https://www.carlow.edu/coronavirus_05-29-2020.aspx" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Carnegie Mellon University,Private,PA,<a href="https://www.cmu.edu/leadership/president/campus-comms/2020/2020-05-14.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Carroll College,Private,MT,<a href="https://mailchi.mp/472fbc502745/for-all-the-saints-564513?e=ffc6bd0d3b" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Carroll University,Public,WI,<a href="https://fox6now.com/2020/05/29/carroll-university-announces-plan-to-resume-in-person-classes-for-fall-2020-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Case Western Reserve University,Private,OH,<a href="https://case.edu/studentlife/healthcounseling/health-serviceshealth-updatescovid-19-campus-communications/april-9-message-facultystaff-commencement-summer-and-fall" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Catholic University of America,Private,DC,<a href="https://communications.catholic.edu/coronavirus/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cazenovia College,Private,NY,<a href="https://www.cazenovia.edu/return-to-campus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Cedarville University,Private,OH,<a href="https://blogs.cedarville.edu/coronavirus-updates/2020/05/may-11-update-planning-for-fall-reopening-the-economy-town-hall-and-summer-programming/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Centenary University,Private,NJ,<a href="https://www.centenaryuniversity.edu/coronavirus-communications/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Central Christian College of the Bible,Private,MO,<a href="https://cccb.edu/news/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
